storm,pr_max,pr_sum,MltnInd,SlopeMn,Tc_Clfr,Area_m2,RvrsSlD,MnRvrSD,nStrahler1,Dd_km-1,Ct_km,Tf_hr,L_toOutlet_km,V_m_s,LRiverNetwork_km
0,2.42666949185979,16.7522330521292,0.21,21.17,2.019418047526634,96671524.76051223,12.7,8.892297065638909,325.0,2.448,795.6,7.43,22.93844,0.8572292755292713,236.64
1,7.14392582654813,26.4797449104127,0.21,21.17,2.019418047526634,96671524.76051223,12.7,8.892297065638909,325.0,2.448,795.6,7.43,22.93844,0.8572292755292713,236.64
2,2.97547272619925,10.4252487773674,0.21,21.17,2.019418047526634,96671524.76051223,12.7,8.892297065638909,325.0,2.448,795.6,7.43,22.93844,0.8572292755292713,236.64
3,5.12857945133886,59.3373858378078,0.21,21.17,2.019418047526634,96671524.76051223,12.7,8.892297065638909,325.0,2.448,795.6,7.43,22.93844,0.8572292755292713,236.64
0,2.69407682340319,17.7772944897122,0.97,24.11,0.081632221053138,418786.8217626853,15.0,18.302869673147352,2.0,4.68,9.36,0.33,1.9295,1.6090321511948102,1.96
1,8.53109531128694,27.2592216952049,0.97,24.11,0.081632221053138,418786.8217626853,15.0,18.302869673147352,2.0,4.68,9.36,0.33,1.9295,1.6090321511948102,1.96
2,2.82791185688334,6.7880027880894,0.97,24.11,0.081632221053138,418786.8217626853,15.0,18.302869673147352,2.0,4.68,9.36,0.33,1.9295,1.6090321511948102,1.96
3,5.26326673773343,62.1630929737097,0.97,24.11,0.081632221053138,418786.8217626853,15.0,18.302869673147352,2.0,4.68,9.36,0.33,1.9295,1.6090321511948102,1.96
0,2.94131731189015,18.7250496955789,0.71,23.28,0.156866899914996,664737.0982422824,14.4,14.237032576084149,2.0,2.452,4.9,0.41,2.24884,1.5409068858208053,1.63
1,10.0569423260022,30.1706103341196,0.71,23.28,0.156866899914996,664737.0982422824,14.4,14.237032576084149,2.0,2.452,4.9,0.41,2.24884,1.5409068858208053,1.63
